연번,시도,시군구,시군구,주소,기관명,대표전화,종별구분,설립구분,행정입원,폐쇄병상,개방병상,입원병상운영_야간공휴일,응급입원,낮병동운영,상급종합병원여부
1,서울,강남구,,논현로 85길 7,강남숲정신건강의학과,02-555-7691,6. 의원,4. 개인,,,,,,,
2,서울,강남구,,테헤란로 109 강남제일빌딩,강남연세정신건강의학과,02-566-6789,6. 의원,4. 개인,,,,,,,
3,서울,강남구,,학동로 338,강남연정신건강의학과,02-541-5572,6. 의원,4. 개인,,,,,,,
4,서울,강남구,,봉은사로 105,강남하늘정신건강의학과,02-515-1330,6. 의원,4. 개인,,,,,,,
5,서울,강남구,,언주로 7길 6,개포숲정신건강의학과,02-6180-0500,6. 의원,4. 개인,,,,,,,
6,서울,강남구,,테헤란로 313 성지하이츠 1차,고정인정신건강의학과의원,02-569-8005,6. 의원,4. 개인,,,,,,,
7,서울,강남구,,학동로 335,굿이너프 정신건강의학과,02-512-4917,6. 의원,4. 개인,,,,,,,
8,서울,강남구,,봉은사로 474 쌍용플래티넘상가,기린정신건강의학과,02-556-1359,6. 의원,4. 개인,,,,,,,
9,서울,강남구,,테헤란로 101,김계희정신건강의학과,02-556-6300,6. 의원,4. 개인,,,,,,,
10,서울,강남구,,언주로 869,김동현정신건강의학과의원,02-545-3203,6. 의원,4. 개인,,,,,,,
11,서울,강남구,,선릉로 603,김정일정신건강의학과의원,02-540-7576,6. 의원,4. 개인,,,,,,,
12,서울,강남구,,논현로 833,김준정신건강의학과,02-518-8011,6. 의원,4. 개인,,,,,,,
13,서울,강남구,,삼성로 38 개포빌딩,나눔정신건강의학과의원,02-445-5575,6. 의원,4. 개인,,,,,,,
14,서울,강남구,,선릉로 523,노명선정신건강의학과의원,02-6205-7400,6. 의원,4. 개인,,,,,,,
15,서울,강남구,,압구정로 156,노왕구정신건강의학과,02-545-7802,6. 의원,4. 개인,,,,,,,
16,서울,강남구,,논현로 841 제이비미소빌딩 505,뉴욕정신건강의학과,02-545-1609,6. 의원,4. 개인,,,,,,,
17,서울,강남구,,강남대로 548 건우빌딩,닥터스정신건강의학과,02-512-0117,6. 의원,4. 개인,,,,,,,
18,서울,강남구,,남부순환로 2927,대치마음정신건강의학과,02-555-4607,6. 의원,4. 개인,,,,,,,
19,서울,강남구,,논현로 507 성지하이츠 3차,더맑은신경정신과의원,02-568-0680,6. 의원,4. 개인,,,,,,,
20,서울,강남구,,남부순환로 2912 그랑프리엔,더쉼한의원,02-553-0199,7. 한의원,4. 개인,,,,,,,
21,서울,강남구,,도산대로 107번지,드림수면의원,02-511-1939,6. 의원,4. 개인,,,,,,,
22,서울,강남구,,도산대로 55길 52,디에프정신건강의학과의원,02-6951-3305,6. 의원,4. 개인,,,,,,,
23,서울,강남구,,삼성로 140길 6,레브린정신건강의학과의원,02-545-0657,6. 의원,4. 개인,,,,,,,
24,서울,강남구,,삼성로 96길 27 진솔빌딩,로뎀정신과의원,02-556-4113,6. 의원,4. 개인,,,,,,,
25,서울,강남구,,학동로 342,류한욱정신과,02-3014-9656,6. 의원,4. 개인,,,,,,,
26,서울,강남구,,테헤란로 111 대건빌딩,마음소담정신건강의학과의원,02-565-0199,6. 의원,4. 개인,,,,,,,
27,서울,강남구,,강남대로 238,마음쉼정신건강의학과의원,02-6475-7575,6. 의원,4. 개인,,,,,,,
28,서울,강남구,,언주로 130길 10 지하,마인드랩공간정신건강의학과,02-545-0607,6. 의원,4. 개인,,,,,,,
29,서울,강남구,,압구정로 28길 13,마인드정신건강의학과의원,02-542-3370,6. 의원,4. 개인,,,,,,,
30,서울,강남구,,선릉로 86길 17 선릉엠티빌딩,마인드힐링정신건강의학과의원,02-547-7500,6. 의원,4. 개인,,,,,,,
31,서울,강남구,,언주로 413,메티스신경정신과,02-564-7575,6. 의원,4. 개인,,,,,,,
32,서울,강남구,,강남대로 524 건일빌딩,문홍세신경정신과의원,02-547-8847,6. 의원,4. 개인,,,,,,,
33,서울,강남구,,남부순환로 359길 30,벗이사는숲정신건강의학과,02-6956-7929,6. 의원,4. 개인,,,,,,,
34,서울,강남구,,선릉로 340,변영돈신경정신과의원,02-563-9937,6. 의원,4. 개인,,,,,,,
35,서울,강남구,,도산대로 335,비웰정신건강의학과의원,02-512-7357,6. 의원,4. 개인,,,,,,,
36,서울,강남구,,학동로 342,빛날정신건강의학과의원,02-6956-4545,6. 의원,4. 개인,,,,,,,
37,서울,강남구,,선릉로 570,사유정신건강의학과의원,02-566-9946,6. 의원,4. 개인,,,,,,,
38,서울,강남구,,테헤란로 328,삼성공감 정신건강의학과,02-6956-1771,6. 의원,4. 개인,,,,,,,
39,서울,강남구,,영동대로 85길 7,삼성마음숲정신건강의학과,02-2088-5700,6. 의원,4. 개인,,,,,,,
40,서울,강남구,,광평로 51길 8,삼성마음친구 정신건강의학과,02-445-8755,6. 의원,4. 개인,,,,,,,
41,서울,강남구,,일원로 81,삼성서울병원,1599-3114,1. 종합병원,3. 법인,,,,O,O,,O
42,서울,강남구,,도곡로 428,생각과느낌의원,02-555-4638,6. 의원,4. 개인,,,,,,O,
43,서울,강남구,,남부순환로 381길 50,생각과마음의원,02-574-5748,6. 의원,4. 개인,,,,,,,
44,서울,강남구,,테헤란로 313,서울빛정신건강의학과의원,02-6953-3837,6. 의원,4. 개인,,,,,,,
45,서울,강남구,,광평로 56길 8-13 수서타워,서울성모정신건강의학과의원,02-6952-6119,6. 의원,4. 개인,,,,,,,
46,서울,강남구,,논현로 511,서울알파정신과,02-555-7725,6. 의원,4. 개인,,,,,,,
47,서울,강남구,,강남대로 248,서울웰정신건강의학과,02-577-7588,6. 의원,4. 개인,,,,,,,
48,서울,강남구,,광평로 295 사이룩스 서관,서울정 정신건강의학과의원,02-451-3750,6. 의원,4. 개인,,,,,,O,
49,서울,강남구,,선릉로 517,서울정신건강의학과,02-3453-8856,6. 의원,4. 개인,,,,,,,
50,서울,강남구,,테헤란로 88길 17,서울탑클래스정신건강의학과의원,02-6339-1009,6. 의원,4. 개인,,,,,,,
51,서울,강남구,,도산대로 420,서울포레스트정신건강의학과의원,02-6480-8777,6. 의원,4. 개인,,,,,,,
52,서울,강남구,,도산대로 111,서울힐정신건강의학과의원,02-516-8880,6. 의원,4. 개인,,,,,,,
53,서울,강남구,,선릉로 513 APEX타워,서호석연세정신건강의학과,02-557-3330,6. 의원,4. 개인,,,,,,,
54,서울,강남구,,테헤란로 410 금강타워 502,선릉김정신과,02-563-6661,6. 의원,4. 개인,,,,,,,
55,서울,강남구,,테헤란로 401 남경센터빌딩,선릉숲 정신건강의학과,02-555-0405,6. 의원,4. 개인,,,,,,,
56,서울,강남구,,테헤란로 337,선릉쉼표정신건강의학과,02-567-3575,6. 의원,4. 개인,,,,,,,
57,서울,강남구,,봉은사로 220,성모우리정신건강의학과의원,02-508-7753,6. 의원,4. 개인,,,,,,,
58,서울,강남구,,테헤란로 87길 13,성모정신건강의학과의원,02-558-6100,6. 의원,4. 개인,,,,,,,
59,서울,강남구,,강남대로 328,성모힐정신건강의학과,02-2138-5568,6. 의원,4. 개인,,,,,,,
60,서울,강남구,,학동로 423 청우빌딩,세림서울정신건강의학과의원,02-511-7570,6. 의원,4. 개인,,,,,,,
61,서울,강남구,,영동대로 602,소민정신건강의학과,02-548-0868,6. 의원,4. 개인,,,,,,,
62,서울,강남구,,언주로 201 SK리더스뷰,소은희마인드피아의원,02-3463-3505,6. 의원,4. 개인,,,,,,,
63,서울,강남구,,밤고개로 1길 10,수서삼성정신건강의학과,02-2226-7100,6. 의원,4. 개인,,,,,,,
64,서울,강남구,,학동로 215번지 CL타워,쉼플러스정신건강의학과의원,02-511-4333,6. 의원,4. 개인,,,,,,,
65,서울,강남구,,도산대로 106 BK빌딩,신사연정신건강의학과의원,02-511-0558,6. 의원,4. 개인,,,,,,,
66,서울,강남구,,개포동 615,신석호정신과의원,02-2226-2231,6. 의원,4. 개인,,,,,,,
67,서울,강남구,,자곡로 174-10,아이그로우정신건강의학과의원,02-459-0888,6. 의원,4. 개인,,,,,,,
68,서울,강남구,,도곡로 408 디마크빌딩,아이나래 정신건강의학과,02-554-2999,6. 의원,4. 개인,,,,,,,
69,서울,강남구,,학동로 6길 48,에스지정신건강의학과,02-6956-1275,6. 의원,4. 개인,,,,,,,
70,서울,강남구,,언주로 211,연세대학교의과대학 강남세브란스병원,1599-6114,1. 종합병원,3. 법인,,,,,,O,O
71,서울,강남구,,논현로 526 (역삼동 더문빌딩),연세라엘 정신건강의학과 의원,02-2039-1339,6. 의원,4. 개인,,,,,,,
72,서울,강남구,,테헤란로 111 준경타워,연세라이프정신건강의학과의원,02-558-7003,6. 의원,4. 개인,,,,,,,
73,서울,강남구,,선릉로 62길 7 경산빌딩,연세맑음정신건강의학과,02-554-9190,6. 의원,4. 개인,,,,,,,
74,서울,강남구,,테헤란로 514,연세삼성정신건강의학과의원,02-565-0086,6. 의원,4. 개인,,,,,,,
75,서울,강남구,,개포로 504,연세소담정신건강의학과의원,02-451-8275,6. 의원,4. 개인,,,,,,,
76,서울,강남구,,논현로 167길 9,연세소울 정신건강의학과,02-484-2600,6. 의원,4. 개인,,,,,,O,
77,서울,강남구,,테헤란로 528,연세유앤김정신건강의학과,02-501-0675,6. 의원,4. 개인,,,,,,,
78,서울,강남구,,도곡로 51길 4,연세자람정신건강의학과의원,02-501-0750,6. 의원,4. 개인,,,,,,,
79,서울,강남구,,테헤란로 51길 10 정다운빌딩,연세조이정신건강의학과의원,02-6951-0757,6. 의원,4. 개인,,,,,,,
80,서울,강남구,,테헤란로 339,연세채움정신건강의학과,02-568-2075,6. 의원,4. 개인,,,,,,,
81,서울,강남구,,강남대로 598 보림빌딩,연세필정신건강의학과,02-516-9114,6. 의원,4. 개인,,,,,,,
82,서울,강남구,,도곡로 409 타워앰프리스빌딜,연세휴정신건강의학과의원,02-556-0990,6. 의원,4. 개인,,,,,,,
83,서울,강남구,,테헤란로 4길 46,연정신경정신과의원,02-569-2916,6. 의원,4. 개인,,,,,,,
84,서울,강남구,,테헤란로 4길 6,예선정신건강의학과의원,02-6207-3140,6. 의원,4. 개인,,,,,,,
85,서울,강남구,,개포로 205. 양재빌딩,예솜정신건강의학과,02-6180-1256,6. 의원,4. 개인,,,,,,,
86,서울,강남구,,봉은사로 213,오늘그린정신건강의학과,02-518-7972,6. 의원,4. 개인,,,,,,,
87,서울,강남구,,테헤란로 87길 17,우나영정신건강의학과의원,02-2248-4860,6. 의원,4. 개인,,,,,,,
88,서울,강남구,,논현로 831 네오스빌딩,우성일정신건강의학과의원,02-6207-0055,6. 의원,4. 개인,,,,,,,
89,서울,강남구,,언주로 30길 21 아카데미스위트,유범희정신건강의학과,02-578-2014,6. 의원,4. 개인,,,,,,,
90,서울,강남구,,영동대로 85길 34 대치2차아이파크,유앤문정신건강의학과의원,02-567-9271,6. 의원,4. 개인,,,,,,,
91,서울,강남구,,압구정로 28길,윤정신건강의학과,,6. 의원,4. 개인,,,,,,,
92,서울,강남구,,강남대로 532,이도희정신과,02-3447-7575,6. 의원,4. 개인,,,,,,,
93,서울,강남구,,선릉로 641,이백정신건강의학과의원,02-511-3117,6. 의원,4. 개인,,,,,,,
94,서울,강남구,,남부순환로 2615,이승민정신건강의학과의원,02-577-4745,6. 의원,4. 개인,,,,,,,
95,서울,강남구,,선릉로 431 sk허브빌딩,이유정신건강의학과,02-6954-7550,6. 의원,4. 개인,,,,,,,
96,서울,강남구,,압구정로 73길 8,이인수정신건강의학과,02-517-7573,6. 의원,4. 개인,,,,,,,
97,서울,강남구,,논현로 607,이정신과의원,02-517-0471,6. 의원,4. 개인,,,,,,,
98,서울,강남구,,헌릉로 569,이준호정신건강의학과의원,02-2039-0071,6. 의원,4. 개인,,,,,,,
99,서울,강남구,,논현로 503,이지마인드의원,02-512-4338,6. 의원,4. 개인,,,,,,,
100,서울,강남구,,도산대로 110 케이비엘 센터,이택중신경정신과의원,02-3443-9300,6. 의원,4. 개인,,,,,,,
101,서울,강남구,,선릉로 311 한티빌딩,이한 정신건강의학과,02-565-1333,6. 의원,4. 개인,,,,,,,
102,서울,강남구,,테헤란로 313,장은진정신건강의학과의원,02-501-7751,6. 의원,4. 개인,,,,,,,
103,서울,강남구,,선릉로 510,장홍석정신건강의학과의원,02-565-9889,6. 의원,4. 개인,,,,,,,
104,서울,강남구,,테헤란로 333,전수연 정신건강의학과 의원,02-562-0711,6. 의원,4. 개인,,,,,,,
105,서울,강남구,,선릉로 30,정다운정신건강의학과,02-6956-8905,6. 의원,4. 개인,,,,,,,
106,서울,강남구,,압구정로 224,정선주 정신과 의원,02-3444-7736,6. 의원,4. 개인,,,,,,,
107,서울,강남구,,압구정로 228,조남현정신건강의학과,02-518-7514,6. 의원,4. 개인,,,,,,,
108,서울,강남구,,선릉로 103길 5,조은희정신건강의학과,02-2009-2567,6. 의원,4. 개인,,,,,,,
109,서울,강남구,,테헤란로 141,진심정신건강의학과,02-568-0005,6. 의원,4. 개인,,,,,,,
110,서울,강남구,,논현로 566,차의과학대학교 강남차병원,02-3468-3000,1. 종합병원,3. 법인,,,,,,,
111,서울,강남구,,삼성로 651 라클래시상가,청담삼성정신건강의학과의원,02-543-5493,6. 의원,4. 개인,,,,,,,
112,서울,강남구,,테헤란로 87길 25,청담율 정신건강의학과,02-568-6799,6. 의원,4. 개인,,,,,,,
113,서울,강남구,,학동로 443 정한빌딩,최인광정신건강의학과의원,02-540-0671,6. 의원,4. 개인,,,,,,,
114,서울,강남구,,삼성로 352,클라이피정신건강의학과,02-2088-7362,6. 의원,4. 개인,,,,,,,
115,서울,강남구,,선릉로 130길 20,클래시스정신건강의학과,02-6221-7582,6. 의원,4. 개인,,,,,,,
116,서울,강남구,,강남대로 408,탑정신건강의학과,02-568-7008,6. 의원,4. 개인,,,,,,,
117,서울,강남구,,논현로 150길 26,토마스정신과의원,02-543-6598,6. 의원,4. 개인,,,,,,,
118,서울,강남구,,도산대로 333,토킹닥터스정신건강의학과,02-517-7770,6. 의원,4. 개인,,,,,,,
119,서울,강남구,,남부순환로 2941 대치탑프라자,하나정신과,02-555-6018,6. 의원,4. 개인,,,,,,,
120,서울,강남구,,학동로 309,해피마인드의원,02-543-3650,6. 의원,4. 개인,,,,,,,
121,서울,강남구,,강남대로 240 sk헌브 프리모,행복정신건강의학과,02-577-7810,6. 의원,4. 개인,,,,,,,
122,서울,강남구,,압구정로 210,현대신경정신과의원,02-540-0820,6. 의원,4. 개인,,,,,,,
123,서울,강남구,,선릉로 431,현정신건강의학과의원,02-555-5303,6. 의원,4. 개인,,,,,,,
124,서울,강남구,,학동로 411,홍정신건강의학과,02-568-0138,6. 의원,4. 개인,,,,,,,
125,서울,강동구,,천호대로 997,강남정신과,02-482-3500,6. 의원,4. 개인,,,,,,,
126,서울,강동구,,동남로 892(상일동),강동경희대학교의대병원,02-1577-5800,1. 종합병원,3. 법인,,,,,,,
127,서울,강동구,,성안로 150,강동성심병원,1588-4100,1. 종합병원,3. 법인,,,,,,O,
128,서울,강동구,,양재대로 1459,강동신경정신과,02-487-6220,6. 의원,4. 개인,,,,,,,
129,서울,강동구,,천호대로 1123 건영빌딩 3층2호,김종하 정신과,02-488-8855,6. 의원,4. 개인,,,,,,,
130,서울,강동구,,천호대로 1033 강동빌딩 5층,나우정신과의원,02-476-7533,6. 의원,4. 개인,,,,,,,
131,서울,강동구,,천호대로 1092 SK 허브진 213,늘푸른정신과의원,02-474-6007,6. 의원,4. 개인,,,,,,,
132,서울,강동구,,구천면로 376 세일빌딩,대성정신건강의학과의원,02-485-4288,6. 의원,4. 개인,,,,,,,
133,서울,강동구,,고덕로 266(대명벨리온),더마음의원,02-442-0417,6. 의원,4. 개인,,,,,,,
134,서울,강동구,,올림픽로 660,더쉼정신건강의학과,02-470-6656,6. 의원,4. 개인,,,,,,,
135,서울,강동구,,양재대로 1365,둔촌마음의원,02-473-7575,6. 의원,4. 개인,,,,,,,
136,서울,강동구,,올림픽로 651,마음안정신건강의학과,02-473-1160,6. 의원,4. 개인,,,,,,,
137,서울,강동구,,양재대로 1655,맑은샘 의원,02-441-8575,6. 의원,4. 개인,,,,,,,
138,서울,강동구,,올림픽로 664,맘톡톡정신건강의학과,02-6952-7508,6. 의원,4. 개인,,,,,,,
139,서울,강동구,,양재대로 1645 지산빌딩,명일엠의원,02-481-2541,6. 의원,4. 개인,,,,,,,
140,서울,강동구,,천호대로 1006 3층 309호,봄날정신건강의학과의원,02-485-3345,6. 의원,4. 개인,,,,,,,
141,서울,강동구,,올림픽로 665,사과나무정신건강의학과,02-482-5275,6. 의원,4. 개인,,,,,,,
142,서울,강동구,,고덕로 353 그라시움상가,성모빛정신건강의학과,02-6953-1905,6. 의원,4. 개인,,,,,,,
143,서울,강동구,,천호대로 1116,쉼정신건강의학과,02-485-0055,6. 의원,4. 개인,,,,,,,
144,서울,강동구,,천호대로 1027,연세강신경과정신과의원,02-478-1070,6. 의원,4. 개인,,,,,,,
145,서울,강동구,,천호대로 1024,연세필정신건강의학과,02-6383-7700,6. 의원,4. 개인,,,,,,,
146,서울,강동구,,양재대로 1607 약봉빌딩,온맘정신건강의학과의원,02-427-5342,6. 의원,4. 개인,,,,,,,
147,서울,강동구,,천호대로 1089,웰봄정신건강의학과의원,02-6959-7177,6. 의원,4. 개인,,,,,,,
148,서울,강동구,,올림픽로 787,장석하정신건강의학과의원,02-442-7585,6. 의원,4. 개인,,,,,,,
149,서울,강동구,,천호대로 1037,정신건강의학과,02-473-2100,6. 의원,4. 개인,,,,,,,
150,서울,강동구,,진황도로 61길 53,중앙보훈병원,02-2225-1111,1. 종합병원,3. 법인,,,,O,,,
151,서울,강동구,,고덕로 262 고덕역효성해링턴타워,테오정신건강의학과,02-427-7583,6. 의원,4. 개인,,,,,,,
152,서울,강동구,,양재대로 1477 삼환빌딩,평온정신건강의학과,02-488-8555,6. 의원,4. 개인,,,,,,,
153,서울,강동구,,천호대로 1006 4층 401호,현정신과의원,02-484-0678,6. 의원,4. 개인,,,,,,,
154,서울,강북구,,도봉로 324 글로리타워,같은마음정신건강의학과,02-903-7557,6. 의원,4. 개인,,,,,,,
155,서울,강북구,,삼각산로 58,국립재활원,02-901-1700,5. 병원,1. 국립,,,,,,,
156,서울,강북구,,도봉로 329,마음벗김종범정신건강의학과,02-905-3271,6. 의원,4. 개인,,,,,,,
157,서울,강북구,,도봉로 40,미아정신건강의학과,02-985-3364,6. 의원,4. 개인,,,,,,,
158,서울,강북구,,솔샘로 233 동북프라자,박동언정신건강의학과,02-6952-9777,6. 의원,4. 개인,,,,,,,
159,서울,강북구,,도봉로 328,박희관정신건강의학과,02-990-1116,6. 의원,4. 개인,,,,,,,
160,서울,강북구,,도봉로 30,사랑샘터정신건강의학과,02-929-0241,6. 의원,4. 개인,,,,,,,
161,서울,강북구,,도봉로 247-1,수유다니엘정신건강의학과,02-987-0175,6. 의원,4. 개인,,,,,,,
162,서울,강북구,,도봉로 405,전종호정신건강의학과,02-902-1709,6. 의원,4. 개인,,,,,,,
163,서울,강북구,,도봉로 52,행복찾기정신건강의학과,02-981-7772,6. 의원,4. 개인,,,,,,,
164,서울,강북구,,도봉로 34,황규혁정신건강의학과,02-945-7751,6. 의원,4. 개인,,,,,,,
165,서울,강서구,,양천로 461,가족사랑정신과의원,02-3663-5999,6. 의원,4. 개인,,,,,,,
166,서울,강서구,,강서로 17길 24,강서필병원,02-2608-8855,2. 정신병원,3. 법인,O,,,O,O,O,
167,서울,강서구,,마곡중앙로 161-17,마곡정신건강의학과의원,02-6053-1416,6. 의원,4. 개인,,,,,,,
168,서울,강서구,,화곡로 161 대성빌딩,마음과정신건강의학과의원,02-2697-8575,6. 의원,4. 개인,,,,,,,
169,서울,강서구,,등촌로 3 부경빌딩,마음느낌정신건강의학과,02-2643-6655,6. 의원,4. 개인,,,,,,,
170,서울,강서구,,강서로186,마음의지도정신건강의학과의원,02-6406-7575,6. 의원,4. 개인,,,,,,,
